date,asset_id,well_id,equipment_type,vibration_level,temperature_c,pressure_psi,failure_risk_score
2023-01-01,A001,A001-W01,Compressor,2.99,77.77,2160.0,0.29
2023-01-02,A001,A001-W01,Valve,3.11,65.08,2222.16,0.54
2023-01-03,A001,A001-W01,Valve,3.5,77.36,2231.0,0.56
2023-01-04,A001,A001-W01,Pump,4.43,80.21,2192.05,0.25
2023-01-05,A001,A001-W01,Compressor,4.32,66.47,2239.89,0.24
2023-01-06,A001,A001-W01,Compressor,4.05,83.49,2270.39,0.23
2023-01-07,A001,A001-W01,Pump,3.75,74.22,2186.8,0.57
2023-01-08,A001,A001-W01,Pump,4.5,64.86,2281.9,0.49
2023-01-09,A001,A001-W01,Compressor,4.08,75.15,2274.23,0.23
2023-01-10,A001,A001-W01,Valve,3.75,82.74,2235.78,0.57
2023-01-11,A001,A001-W01,Pump,4.02,82.27,2215.53,0.47
2023-01-12,A001,A001-W01,Valve,3.13,72.71,2269.91,0.18
2023-01-13,A001,A001-W01,Compressor,3.89,82.01,2232.23,0.22
2023-01-14,A001,A001-W01,Pump,4.87,72.61,2165.11,0.63
2023-01-15,A001,A001-W01,Valve,3.41,69.12,2171.4,0.32
2023-01-16,A001,A001-W01,Pump,3.15,72.97,2242.44,0.18
2023-01-17,A001,A001-W01,Pump,3.1,67.12,2154.82,0.18
2023-01-18,A001,A001-W01,Compressor,2.98,63.62,2211.55,0.17
2023-01-19,A001,A001-W01,Valve,3.84,80.31,2233.15,0.58
2023-01-20,A001,A001-W01,Compressor,4.62,71.15,2175.74,0.5
2023-01-21,A001,A001-W01,Valve,3.3,72.94,2258.71,0.19
2023-01-22,A001,A001-W01,Pump,2.96,64.37,2278.41,0.17
2023-01-23,A001,A001-W01,Valve,2.88,66.97,2241.21,0.17
2023-01-24,A001,A001-W01,Valve,2.82,82.46,2225.51,0.17
2023-01-25,A001,A001-W01,Pump,4.2,81.8,2233.7,0.59
2023-01-26,A001,A001-W01,Valve,3.82,74.21,2160.35,0.22
2023-01-27,A001,A001-W01,Compressor,4.28,75.78,2250.72,0.24
2023-01-28,A001,A001-W01,Compressor,3.64,79.21,2150.71,0.21
2023-01-29,A001,A001-W01,Pump,3.76,87.17,2270.59,0.45
2023-01-30,A001,A001-W01,Compressor,2.84,73.92,2272.14,0.17
2023-01-31,A001,A001-W01,Pump,3.01,67.38,2185.06,0.18
2023-02-01,A001,A001-W01,Compressor,4.12,81.68,2268.34,0.23
2023-02-02,A001,A001-W01,Compressor,4.69,86.75,2192.65,0.62
2023-02-03,A001,A001-W01,Compressor,3.67,79.27,2151.04,0.57
2023-02-04,A001,A001-W01,Compressor,3.44,87.13,2202.3,0.44
2023-02-05,A001,A001-W01,Valve,2.97,85.74,2241.86,0.29
2023-02-06,A001,A001-W01,Pump,3.27,65.02,2198.02,0.43
2023-02-07,A001,A001-W01,Pump,4.53,81.0,2183.77,0.61
2023-02-08,A001,A001-W01,Pump,3.83,65.47,2157.03,0.34
2023-02-09,A001,A001-W01,Pump,3.05,61.93,2247.14,0.3
2023-02-10,A001,A001-W01,Compressor,4.4,82.17,2177.27,0.24
2023-02-11,A001,A001-W01,Valve,3.93,85.1,2266.22,0.34
2023-02-12,A001,A001-W01,Pump,3.99,86.54,2190.47,0.46
2023-02-13,A001,A001-W01,Pump,3.14,66.86,2230.81,0.54
2023-02-14,A001,A001-W01,Pump,3.06,62.95,2232.29,0.18
2023-02-15,A001,A001-W01,Pump,3.05,80.27,2243.84,0.3
2023-02-16,A001,A001-W01,Valve,4.22,70.46,2228.72,0.6
2023-02-17,A001,A001-W01,Pump,3.14,82.39,2189.74,0.18
2023-02-18,A001,A001-W01,Valve,3.85,77.3,2195.73,0.34
2023-02-19,A001,A001-W01,Compressor,2.73,83.27,2268.1,0.16
2023-02-20,A001,A001-W01,Pump,4.44,77.2,2250.23,0.25
2023-02-21,A001,A001-W01,Compressor,4.28,63.67,2211.99,0.24
2023-02-22,A001,A001-W01,Valve,3.68,68.76,2227.75,0.21
2023-02-23,A001,A001-W01,Compressor,4.09,64.78,2198.12,0.59
2023-02-24,A001,A001-W01,Pump,3.67,84.05,2185.83,0.21
2023-02-25,A001,A001-W01,Compressor,4.84,64.08,2261.6,0.51
2023-02-26,A001,A001-W01,Valve,3.55,75.73,2225.39,0.2
2023-02-27,A001,A001-W01,Pump,3.06,83.76,2249.82,0.18
2023-02-28,A001,A001-W01,Valve,3.03,69.01,2175.05,0.18
