date,asset_id,well_id,oil_produced_bbl,gas_produced_mcf,water_cut_pct,downtime_hours
2023-01-01,A001,A001-W01,917.14,6549.34,24.64,1
2023-01-02,A001,A001-W01,919.51,6634.62,24.64,3
2023-01-03,A001,A001-W01,929.92,6759.47,24.64,3
2023-01-04,A001,A001-W01,966.5,6815.14,24.64,0
2023-01-05,A001,A001-W01,924.88,6975.19,24.65,0
2023-01-06,A001,A001-W01,921.57,6894.77,24.65,0
2023-01-07,A001,A001-W01,932.57,6894.7,24.65,3
2023-01-08,A001,A001-W01,993.14,6919.44,24.65,2
2023-01-09,A001,A001-W01,902.22,7063.36,24.65,0
2023-01-10,A001,A001-W01,983.6,6931.67,24.65,3
2023-01-11,A001,A001-W01,937.55,7166.6,24.67,2
2023-01-12,A001,A001-W01,911.49,6800.35,24.66,0
2023-01-13,A001,A001-W01,952.16,6638.6,24.68,0
2023-01-14,A001,A001-W01,983.45,7048.38,24.66,3
2023-01-15,A001,A001-W01,911.51,6656.5,24.66,1
2023-01-16,A001,A001-W01,921.92,6580.95,24.66,0
2023-01-17,A001,A001-W01,925.34,6670.73,24.66,0
2023-01-18,A001,A001-W01,938.77,6514.2,24.68,0
2023-01-19,A001,A001-W01,964.57,7019.82,24.66,3
2023-01-20,A001,A001-W01,975.43,6594.39,24.69,2
2023-01-21,A001,A001-W01,921.67,6935.29,24.67,0
2023-01-22,A001,A001-W01,911.17,7127.99,24.69,0
2023-01-23,A001,A001-W01,909.33,7109.97,24.69,0
2023-01-24,A001,A001-W01,937.49,7093.23,24.72,0
2023-01-25,A001,A001-W01,989.14,7158.78,24.68,3
2023-01-26,A001,A001-W01,902.12,6833.36,24.67,0
2023-01-27,A001,A001-W01,923.0,6890.48,24.72,0
2023-01-28,A001,A001-W01,962.47,7076.72,24.69,0
2023-01-29,A001,A001-W01,984.8,6732.92,24.69,2
2023-01-30,A001,A001-W01,929.32,6625.79,24.67,0
2023-01-31,A001,A001-W01,904.72,6621.26,24.73,0
2023-02-01,A001,A001-W01,967.21,6870.94,24.68,0
2023-02-02,A001,A001-W01,959.84,6628.01,24.66,3
2023-02-03,A001,A001-W01,954.81,6517.47,24.68,3
2023-02-04,A001,A001-W01,931.85,6563.59,24.73,2
2023-02-05,A001,A001-W01,950.35,6862.32,24.69,1
2023-02-06,A001,A001-W01,923.22,6774.89,24.7,2
2023-02-07,A001,A001-W01,986.55,6794.0,24.68,3
2023-02-08,A001,A001-W01,949.93,6892.08,24.73,1
2023-02-09,A001,A001-W01,903.88,6517.17,24.71,1
2023-02-10,A001,A001-W01,914.6,6775.85,24.71,0
2023-02-11,A001,A001-W01,945.11,7059.08,24.74,1
2023-02-12,A001,A001-W01,960.75,6860.35,24.71,2
2023-02-13,A001,A001-W01,916.77,6659.59,24.71,3
2023-02-14,A001,A001-W01,933.51,6936.32,24.73,0
2023-02-15,A001,A001-W01,899.6,6747.57,24.81,1
2023-02-16,A001,A001-W01,908.63,6638.3,24.76,3
2023-02-17,A001,A001-W01,906.09,7080.86,24.76,0
2023-02-18,A001,A001-W01,904.21,6678.24,24.82,1
2023-02-19,A001,A001-W01,949.02,6614.18,24.79,0
